File,Model,GT_Text,Pred_Text,GT_Phonemes,Pred_Phonemes,MCD,F0_RMSE_Log,VDE,GPE,Dur_Diff_s,WER,CER,PER,HuBERT_Sim,SEC
jvm_05219_01161827212,jv_baseline,sinemart pictures jare wis meh gulung tikar, sinemar pictures jariwis meh gulung tikar,sinemartbitʃartereesmehkuluŋtikarr,sinemarpiktorestʃarivismekuluŋtikar,5.682,0.155,0.066,0.023,0.204,0.429,0.07,0.412,0.982,0.756
jvm_05219_01161827212,LPEP,sinemart pictures jare wis meh gulung tikar, sinemat pitures jarewis meh gulung tikaru,sinemartbitʃartereesmehkuluŋtikarr,silmatpittorestʃariismekuluŋtikat,6.251,0.241,0.059,0.248,1.254,0.714,0.093,0.441,0.962,0.579
jvm_05219_01161827212,PPIM,sinemart pictures jare wis meh gulung tikar, sinemat picturis jarewis meh gurung tikar,sinemartbitʃartereesmehkuluŋtikarr,sinemmanpiktorestʃareismɪhɡuɾuŋtikar,5.785,0.14,0.102,0.06,0.429,0.714,0.093,0.471,0.985,0.523
jvm_05219_01161827212,LPEP_PPIM,sinemart pictures jare wis meh gulung tikar, sinemat pitures jari vis mekulung dikar,sinemartbitʃartereesmehkuluŋtikarr,sinemartpitturastʃarivismaɪkuluŋdikar,6.404,0.215,0.237,0.154,0.679,1.0,0.186,0.412,0.981,0.635
jvm_09724_01881980899,id_base,mitsubishi manggoni gedhung sentral senayan siji lan loro, getsubishi manggoni gedung sentral senayan siji lan loro,mittsupiʃmaŋɡonikətoŋsentralsanajantsitʃilanloro,etsubisiːmaŋɡoniɡəduŋsɛntralsenɛntsidʒilanlɔro,6.978,0.492,0.159,0.836,0.989,0.25,0.053,0.375,0.977,0.145
jvm_09724_01881980899,id_zeroshot,mitsubishi manggoni gedhung sentral senayan siji lan loro, itu bixi manggoni gedung central senayan siji lan loroq,mittsupiʃmaŋɡonikətoŋsentralsanajantsitʃilanloro,mitubiʃiːmaŋɡoniːɡədhuŋsɛntralsenɛntsidʒilanlaʊrɔ,6.798,0.362,0.199,0.466,0.914,0.625,0.14,0.417,0.976,0.316
jvm_09724_01881980899,jv_baseline,mitsubishi manggoni gedhung sentral senayan siji lan loro, mitsubishi manggoni kedung sentral senayan siji llan lorwak,mittsupiʃmaŋɡonikətoŋsentralsanajantsitʃilanloro,mitsopisimaŋɡoniktuŋsentralsenajantsitʃilanlorua,5.989,0.172,0.099,0.096,0.189,0.375,0.105,0.188,0.99,0.75
jvm_09724_01881980899,LPEP,mitsubishi manggoni gedhung sentral senayan siji lan loro, mitsubishi mangguni getung sentral senen sijilan lord oro,mittsupiʃmaŋɡonikətoŋsentralsanajantsitʃilanloro,itsupisimaŋɡonikətuŋsentralsenɛntsitʃilanlorb,6.347,0.366,0.236,0.514,1.039,0.75,0.193,0.208,0.974,0.698
jvm_09724_01881980899,PPIM,mitsubishi manggoni gedhung sentral senayan siji lan loro, memicap isi manggoni tuntung central sanayang siksilan warung,mittsupiʃmaŋɡonikətoŋsentralsanajantsitʃilanloro,mmiŋtsaŋpsimaŋɡoːviŋkəŋkʊsɛnralsənaɪjansitʃilɛnvoːrʊ,6.356,0.096,0.143,0.0,0.914,1.0,0.386,0.438,0.959,0.396
jvm_09724_01881980899,LPEP_PPIM,mitsubishi manggoni gedhung sentral senayan siji lan loro, mitsubishi manggoni ketung sentra senayan sicilan loro,mittsupiʃmaŋɡonikətoŋsentralsanajantsitʃilanloro,mittsopisimaŋɡoniketuŋsentrasenajansitʃilanloro,5.596,0.096,0.096,0.0,1.014,0.5,0.105,0.167,0.983,0.736
jvm_05522_01111282626,id_base,rosa saiki tiru tiru usaha diva karaoke, rossa saiki tirutiru usaha diva karaokom,rosasaeɡiptirutiruusahetifakaraʊke,prosasaɪkitirotirousahadifakaraokamn,7.112,0.482,0.25,0.677,0.383,0.571,0.103,0.353,0.99,0.313
jvm_05522_01111282626,id_zeroshot,rosa saiki tiru tiru usaha diva karaoke, rossa saiki tirutiru usaha diva karaokau,rosasaeɡiptirutiruusahetifakaraʊke,prosasaɪkitrutiruusahadifakarkaʊn,6.751,0.399,0.167,0.56,0.233,0.571,0.103,0.294,0.992,0.47
jvm_05522_01111282626,jv_baseline,rosa saiki tiru tiru usaha diva karaoke, rossa saiki tiru tiru usaha diva karaokeop,rosasaeɡiptirutiruusahetifakaraʊke,rosasaekitirotiruusahatifakaraokeop,5.841,0.152,0.122,0.062,0.142,0.286,0.077,0.206,0.993,0.706
jvm_05522_01111282626,LPEP,rosa saiki tiru tiru usaha diva karaoke, rosasakitirutiru usaha diva karaotom,rosasaeɡiptirutiruusahetifakaraʊke,rosaːsakitirutruusahatiːfakaraːtʊ,6.043,0.244,0.124,0.156,0.933,0.714,0.179,0.294,0.97,0.746
jvm_05522_01111282626,PPIM,rosa saiki tiru tiru usaha diva karaoke, प्रुशा सालिकि तिरू तिरू उसाहा तिफा कराओ अए,rosasaeɡiptirutiruusahetifakaraʊke,prosasalekitiruteruusahatifakarae,5.94,0.206,0.121,0.126,0.217,1.143,0.923,0.235,0.98,0.438
jvm_05522_01111282626,LPEP_PPIM,rosa saiki tiru tiru usaha diva karaoke, rossa saiki tiru tiru usaha diva karauhing,rosasaeɡiptirutiruusahetifakaraʊke,rosasaekitirotiruusahatifakaraːi,5.704,0.15,0.057,0.045,0.083,0.286,0.154,0.206,0.993,0.71
jvm_09724_01485194309,id_base,yuni shara wis gak ngurus maneh ambèk kelakuane mita, yoi ni sarah wiss ga ngurus mana ambek kelakuan emite,juniʃarawesɡaŋurosmanehambeklakunemita,jonisaraiɡaŋrusmaneambekklakuanemite,7.049,0.527,0.197,0.763,0.787,1.0,0.25,0.289,0.979,0.347
jvm_09724_01485194309,id_zeroshot,yuni shara wis gak ngurus maneh ambèk kelakuane mita, unisara wis gak ngurus mana ambek kelakuan meminta,juniʃarawesɡaŋurosmanehambeklakunemita,junisarawisɡaŋurusmaneambekklakuanamita,6.683,0.381,0.286,0.587,0.512,0.667,0.192,0.184,0.985,0.377
jvm_09724_01485194309,jv_baseline,yuni shara wis gak ngurus maneh ambèk kelakuane mita, uni sarawes gak ngurus manih ambil kelakuannya mitahu,juniʃarawesɡaŋurosmanehambeklakunemita,junisaraweskaŋurusmanehambeklakwanemita,5.765,0.147,0.132,0.014,0.138,0.778,0.231,0.132,0.995,0.736
jvm_09724_01485194309,LPEP,yuni shara wis gak ngurus maneh ambèk kelakuane mita, unisara west gak ngurus mana ambil kelakuan yang kita,juniʃarawesɡaŋurosmanehambeklakunemita,unnisarawiskaŋurusmaneambelakwanemita,6.045,0.268,0.156,0.271,0.862,0.889,0.288,0.263,0.983,0.682
jvm_09724_01485194309,PPIM,yuni shara wis gak ngurus maneh ambèk kelakuane mita, unis syarawis gak ngurus mana ambil telah warnanya minta,juniʃarawesɡaŋurosmanehambeklakunemita,junisarawiskanɡurosmaneambevelaoanimipa,6.257,0.11,0.179,0.022,0.287,0.889,0.346,0.316,0.982,0.439
jvm_09724_01485194309,LPEP_PPIM,yuni shara wis gak ngurus maneh ambèk kelakuane mita, unisar rauis ga ngurus mana ambil kelakuan imitannya,juniʃarawesɡaŋurosmanehambeklakunemita,junisaraːwiskaŋɡurusmanehambelakwanimita,5.757,0.121,0.179,0.038,0.362,0.889,0.346,0.263,0.988,0.786
jvm_09724_00823081773,id_base,pandu logistics nyediake jasa kurir, andu logistisnya diakai jasa korema,bandulokistiksɲetiaketʃasakuril,anduloɡistisnɲidiakaɪdʒasakurem,6.499,0.491,0.248,0.777,0.91,0.8,0.314,0.387,0.984,0.166
jvm_09724_00823081773,id_zeroshot,pandu logistics nyediake jasa kurir, kandu logistik hiddiaknya jasa kurir,bandulokistiksɲetiaketʃasakuril,panduloɡistiksidiakedʒasakurirn,6.644,0.314,0.25,0.378,0.585,0.6,0.257,0.29,0.986,0.207
jvm_09724_00823081773,jv_baseline,pandu logistics nyediake jasa kurir, pandu logistiknya dia eja sakuririf,bandulokistiksɲetiaketʃasakuril,bandulokistksɲetiaetʃasakurerif,5.85,0.099,0.243,0.043,0.11,0.8,0.314,0.161,0.996,0.737
jvm_09724_00823081773,LPEP,pandu logistics nyediake jasa kurir, pandu logis text di tiage jasa kurin,bandulokistiksɲetiaketʃasakuril,anduloxisteksɲitiaetʃesakurir,6.058,0.18,0.362,0.083,0.96,1.0,0.286,0.226,0.983,0.626
jvm_09724_00823081773,PPIM,pandu logistics nyediake jasa kurir, anu logis teknik yaitu jasal ulang,bandulokistiksɲetiaketʃasakuril,panduloŋistexɲenkiajetʃesaurir,6.363,0.146,0.324,0.09,0.41,1.2,0.571,0.355,0.944,0.244
jvm_09724_00823081773,LPEP_PPIM,pandu logistics nyediake jasa kurir, pandu logistiknya dia eja sakurir,bandulokistiksɲetiaketʃasakuril,banduːlokistetsiɲetiaetʃesakurir,5.609,0.066,0.262,0.0,0.635,0.8,0.257,0.226,0.99,0.705
jvm_05219_00633882647,id_base,jetstar mboten mbikak penerbangan dugi jakarta, its time boten bikak penerbangan dugi jakarta,tʃetstarrmotonbikapanarpaŋəntukitʃakarta,estarenbotenviːkakponerbaŋanduɡidʒaxarta,6.966,0.423,0.249,0.682,0.422,0.667,0.174,0.475,0.984,0.392
jvm_05219_00633882647,id_zeroshot,jetstar mboten mbikak penerbangan dugi jakarta, its time boten bika penerbangan dugi jakarta,tʃetstarrmotonbikapanarpaŋəntukitʃakarta,etstarmbotenbikaponerbaŋanduɡiːdʒaxrta,6.445,0.26,0.31,0.31,0.222,0.667,0.196,0.4,0.991,0.495
jvm_05219_00633882647,jv_baseline,jetstar mboten mbikak penerbangan dugi jakarta, jetstar moten bika penerbangan dugi jakarta,tʃetstarrmotonbikapanarpaŋəntukitʃakarta,dʒetstarmotenbikavanarpaŋantukitʃakarta,6.818,0.177,0.284,0.067,0.328,0.333,0.065,0.15,0.989,0.661
jvm_05219_00633882647,LPEP,jetstar mboten mbikak penerbangan dugi jakarta, lets start ngeboten pika penerbangan dugi jaarta,tʃetstarrmotonbikapanarpaŋəntukitʃakarta,testarambotanpikapanrbaŋantukitʃaarta,6.187,0.233,0.201,0.258,0.822,0.833,0.239,0.25,0.961,0.617
jvm_05219_00633882647,PPIM,jetstar mboten mbikak penerbangan dugi jakarta, chat star boten bika penerbangan guggy jakarta,tʃetstarrmotonbikapanarpaŋəntukitʃakarta,tsestarbodənbiːkaondrvaŋanɡuːkiːtʃaarta,5.981,0.153,0.215,0.095,0.122,0.833,0.217,0.4,0.989,0.597
jvm_05219_00633882647,LPEP_PPIM,jetstar mboten mbikak penerbangan dugi jakarta, jetstar moten bika panar bangan dugi jakarta,tʃetstarrmotonbikapanarpaŋəntukitʃakarta,tsetstarmotenbikafanarbaŋantuɡitsakarta,6.04,0.141,0.228,0.075,0.222,0.667,0.13,0.2,0.993,0.674
jvm_05219_01182098429,id_base,ana pabrik batubara ning cilegon, anak pabrik batubara nincir lagun,onopapripatuporaneŋtsilekon,anapabrikbatubaranitselaɡoɲ,7.004,0.451,0.251,0.683,1.204,0.6,0.219,0.481,0.939,0.203
jvm_05219_01182098429,id_zeroshot,ana pabrik batubara ning cilegon, anak pabrik batubara ning cilegon,onopapripatuporaneŋtsilekon,anapabrikbatubraniŋtʃeleɡon,6.689,0.316,0.105,0.306,1.254,0.2,0.031,0.407,0.957,0.429
jvm_05219_01182098429,jv_baseline,ana pabrik batubara ning cilegon, onno paprik batu baru nengchi legun,onopapripatuporaneŋtsilekon,onopapripatuparoneŋtsilekon,5.552,0.116,0.201,0.016,0.379,1.2,0.344,0.074,0.994,0.693
jvm_05219_01182098429,LPEP,ana pabrik batubara ning cilegon, anak paprik batu bara yang cilikun,onopapripatuporaneŋtsilekon,anapapripʌtubaraneŋtʃilɪkən,6.065,0.138,0.212,0.025,1.604,1.2,0.25,0.296,0.924,0.59
jvm_05219_01182098429,PPIM,ana pabrik batubara ning cilegon, anak atrik batuk bara nengcilekun,onopapripatuporaneŋtsilekon,anaːanprikbatuberaniŋtʃilekun,5.767,0.187,0.217,0.087,0.504,1.0,0.281,0.407,0.978,0.548
jvm_05219_01182098429,LPEP_PPIM,ana pabrik batubara ning cilegon, ano paprik batu baral nengchi legun,onopapripatuporaneŋtsilekon,anopapripatuperaneŋtʃilekun,5.768,0.156,0.22,0.079,0.254,1.2,0.281,0.148,0.99,0.583
jvm_09724_00529071863,id_base,tio pakusadewo saestu tasih nggadhah potelod enggal, iya pakusadewa saiz tuh tasi enggak dah potelot enggak dah,diopakuzatiwosaestutasehŋɡadehpatlteŋɡel,ipakusadewosaɪstutasiŋɡadpotelotənɡa,7.037,0.589,0.214,0.931,0.389,1.429,0.373,0.425,0.991,0.162
jvm_09724_00529071863,id_zeroshot,tio pakusadewo saestu tasih nggadhah potelod enggal, iya pakusadewa size tuh tasi hingga drah potelut engga drah,diopakuzatiwosaestutasehŋɡadehpatlteŋɡel,ipakusadewɔsaɪstotasihiŋɡadrapopelotəŋɡa,6.821,0.363,0.398,0.59,0.139,1.429,0.373,0.475,0.977,0.25
jvm_09724_00529071863,jv_baseline,tio pakusadewo saestu tasih nggadhah potelod enggal, diopakusa di wosastu tasih tidak ada potolot enggalat,diopakuzatiwosaestutasehŋɡadehpatlteŋɡel,tiopakusativosastutasihɡadepotolotenɡele,5.97,0.191,0.226,0.097,0.036,1.0,0.353,0.3,0.988,0.723
jvm_09724_00529071863,LPEP,tio pakusadewo saestu tasih nggadhah potelod enggal, diopak usa dewa usas itu tasih tidak ada potterlot anggaran,diopakuzatiwosaestutasehŋɡadehpatlteŋɡel,diopakusativosastutaseŋɡadehpotalotanɡan,6.1,0.311,0.343,0.391,0.364,1.286,0.451,0.275,0.958,0.537
jvm_09724_00529071863,PPIM,tio pakusadewo saestu tasih nggadhah potelod enggal, piyom panggung sanjimu size 2 tasing ganteng bontelon enggol,diopakuzatiwosaestutasehŋɡadehpatlteŋɡel,piomaŋɡʊsantiβosaɪstultasɪŋdndebondəlonɪɡɛ,6.383,0.11,0.178,0.0,0.064,1.286,0.608,0.6,0.942,0.309
jvm_09724_00529071863,LPEP_PPIM,tio pakusadewo saestu tasih nggadhah potelod enggal, diopaku satiwa sastu tasi gak ada portalot enggol,diopakuzatiwosaestutasehŋɡadehpatlteŋɡel,tiopakustevosastutaseŋɡadespotaloteŋɡel,5.657,0.089,0.417,0.0,0.689,1.143,0.353,0.275,0.982,0.686
jvm_09724_01914705772,id_base,pingine turu ning fukushima tapi pakdheku emoh, pengennya turun ning fukushima tapi pake ku emo ku,biɲineturuneŋfukuʃimatapipatikumo,peɲinatoronniŋfokosimatapipakdekuemok,7.21,0.674,0.14,0.871,0.393,0.857,0.261,0.455,0.985,0.269
jvm_09724_01914705772,id_zeroshot,pingine turu ning fukushima tapi pakdheku emoh, bingeturu ning fukushima tapi pak deku emo,biɲineturuneŋfukuʃimatapipatikumo,biɲeturuniŋfokosimatapipakdekoemo,6.815,0.512,0.256,0.726,0.118,0.714,0.152,0.333,0.987,0.336
jvm_09724_01914705772,jv_baseline,pingine turu ning fukushima tapi pakdheku emoh, pengini turuning fukushima tapi pak deku amohi,biɲineturuneŋfukuʃimatapipatikumo,biɲineturneŋfukosimatapipatikuamo,5.805,0.257,0.105,0.191,0.257,0.857,0.152,0.121,0.989,0.7
jvm_09724_01914705772,LPEP,pingine turu ning fukushima tapi pakdheku emoh, ping ne turu neng fukoshi ma tapi pa deku emo,biɲineturuneŋfukuʃimatapipatikumo,pinetruneŋfukosimatabipatekoemo,6.399,0.366,0.098,0.46,0.418,1.143,0.152,0.303,0.989,0.653
jvm_09724_01914705772,PPIM,pingine turu ning fukushima tapi pakdheku emoh, इंगी ने तो रू में फुकोषी मा ता भी बाग तेखू में मा,biɲineturuneŋfukuʃimatapipatikumo,peɲinenŋkoruneŋfokɕiŋmaːtanvɪŋpaŋfɪŋkunəmɔ,6.552,0.234,0.146,0.179,0.157,1.857,0.957,0.667,0.973,0.278
jvm_09724_01914705772,LPEP_PPIM,pingine turu ning fukushima tapi pakdheku emoh, pengini turun yang fokusimah tapi pake kuemah,biɲineturuneŋfukuʃimatapipatikumo,viɲineturuniŋfukusimatapipatekuemo,6.006,0.233,0.224,0.228,0.293,0.857,0.283,0.152,0.994,0.711
jvm_09724_00102459494,id_base,nyarenipun tengprep hotel dhaerah malabar, garena ini pun teng prep hotel di herah malabar,ɲarenipontaŋhotelteerahmalaper,ɲaranipunteŋprephotaldiheramalaber,7.511,0.513,0.217,0.862,0.324,1.4,0.268,0.433,0.992,0.35
jvm_09724_00102459494,id_zeroshot,nyarenipun tengprep hotel dhaerah malabar, karena ini pun tank prep hotel daerah malah ber,ɲarenipontaŋhotelteerahmalaper,kerenipuntaŋprephotaldramalaber,7.133,0.396,0.321,0.683,0.299,1.6,0.341,0.433,0.989,0.396
jvm_09724_00102459494,jv_baseline,nyarenipun tengprep hotel dhaerah malabar, nyarenipun tengprep hotel daerah malabar,ɲarenipontaŋhotelteerahmalaper,ɲarenipontaŋprɛphotɛlkaɪirahmalaper,5.717,0.097,0.102,0.0,0.424,0.2,0.024,0.3,0.992,0.774
jvm_09724_00102459494,LPEP,nyarenipun tengprep hotel dhaerah malabar, yang ini pun tengprep hotel derah malabar,ɲarenipontaŋhotelteerahmalaper,jarenipontaŋprephotalterahmalaper,6.81,0.212,0.182,0.122,0.124,0.8,0.195,0.233,0.992,0.759
jvm_09724_00102459494,PPIM,nyarenipun tengprep hotel dhaerah malabar, nǐārēnī kūn tēng prēm phōngtār tērāh mālātār,ɲarenipontaŋhotelteerahmalaper,ɲariliɡontŋpɹɛmntafeɪɾahmaɡante,6.4,0.136,0.154,0.009,0.274,1.4,0.634,0.567,0.973,0.348
jvm_09724_00102459494,LPEP_PPIM,nyarenipun tengprep hotel dhaerah malabar, nyareni pun tengprap hotel derah malabar,ɲarenipontaŋhotelteerahmalaper,ɲarenipontaŋpraphɔtalterahmalaper,6.036,0.105,0.156,0.0,0.151,0.8,0.098,0.233,0.99,0.755
jvm_09724_01765501038,id_base,restoranipun sampun bikak tengprep lima, restoranipun sampun di kak tank prep 5,restaʊraniponsamponpikatŋlima,restoraniponsampundikakteŋprlima,7.021,0.566,0.231,0.874,0.681,1.0,0.231,0.276,0.967,0.286
jvm_09724_01765501038,id_zeroshot,restoranipun sampun bikak tengprep lima, restoran nipon sampai di kak tank prep 5,restaʊraniponsamponpikatŋlima,prastoraniponsampondikataŋpreplima,6.798,0.414,0.32,0.779,0.731,1.6,0.359,0.345,0.96,0.32
jvm_09724_01765501038,jv_baseline,restoranipun sampun bikak tengprep lima, restoranipun sampun bikak tengprep 5,restaʊraniponsamponpikatŋlima,restoraniponsamponpikataŋpreplimo,6.182,0.212,0.235,0.104,0.181,0.2,0.103,0.276,0.982,0.724
jvm_09724_01765501038,LPEP,restoranipun sampun bikak tengprep lima, restoran nipon sampo pika tang prap 5,restaʊraniponsamponpikatŋlima,rastoraniponsamponpikataŋpraplima,6.387,0.323,0.255,0.309,0.681,1.4,0.359,0.276,0.97,0.6
jvm_09724_01765501038,PPIM,restoranipun sampun bikak tengprep lima, restoran ini pun sampe 305,restaʊraniponsamponpikatŋlima,prestɔraninsanbonbiɡanaɪnbranlima,6.354,0.169,0.277,0.101,0.506,1.0,0.564,0.586,0.961,0.365
jvm_09724_01765501038,LPEP_PPIM,restoranipun sampun bikak tengprep lima, restoran nipon sampen bikaktang prap 5,restaʊraniponsamponpikatŋlima,restoɾanikonsambonpikatŋraplima,5.914,0.18,0.255,0.138,0.831,1.2,0.308,0.276,0.972,0.669
jvm_09724_00112693017,id_base,ojok lali gawa jaket nèk arep metu metu saiki wis musim bedhidhing soale, jok lali gawa jaketnek arab metumetu saiki wis musim bad hitting soal deh,otʃolaliŋɡovoltʃaketnearapmatomatusaikivesmusjebdidiŋsoali,joklaliːɡaadʒakatnekarapmatmatusaɪkiːwismusembedhidhŋsalade,6.845,0.502,0.258,0.75,0.941,0.769,0.181,0.466,0.987,0.271
jvm_09724_00112693017,id_zeroshot,ojok lali gawa jaket nèk arep metu metu saiki wis musim bedhidhing soale, ujok laligawa jakat naik arab metu metu saiki wis musim bad hitting soal ini,otʃolaliŋɡovoltʃaketnearapmatomatusaikivesmusjebdidiŋsoali,odʒoklaliɡaadʒakatnekarapmetometosaɪkiwismusmbedhidhiŋsoalvi,6.709,0.437,0.422,0.579,0.916,0.769,0.208,0.414,0.989,0.243
jvm_09724_00112693017,jv_baseline,ojok lali gawa jaket nèk arep metu metu saiki wis musim bedhidhing soale, ujok lalikawa jakat nearap metumetu saiki was musim berditing soalan,otʃolaliŋɡovoltʃaketnearapmatomatusaikivesmusjebdidiŋsoali,otʃolalikawotʃakatnearopmatmatosaikiːwesmusempetitiŋsala,6.085,0.13,0.208,0.053,0.016,0.846,0.222,0.328,0.99,0.768
jvm_09724_00112693017,LPEP,ojok lali gawa jaket nèk arep metu metu saiki wis musim bedhidhing soale, cok lalik gua jakat naik arab metumetu saya iways musim bedi tingson,otʃolaliŋɡovoltʃaketnearapmatomatusaikivesmusjebdidiŋsoali,dʒolalikuatʃakatnearapmatomtosakiːvismusimpetitŋson,6.315,0.223,0.352,0.172,1.216,0.923,0.333,0.431,0.988,0.702
jvm_09724_00112693017,PPIM,ojok lali gawa jaket nèk arep metu metu saiki wis musim bedhidhing soale, womcak lalik womcak nek arm mentu mentu saiki wes mosin bikin soala,otʃolaliŋɡovoltʃaketnearapmatomatusaikivesmusjebdidiŋsoali,kontaaliŋkavɔntʃaŋnneŋarməntolmntoːsaɪhiːwesmusimbiliːɡiŋsaðə,6.843,0.17,0.258,0.035,0.166,0.923,0.375,0.586,0.97,0.41
jvm_09724_00112693017,LPEP_PPIM,ojok lali gawa jaket nèk arep metu metu saiki wis musim bedhidhing soale, ojo lalikawa jaket nearp matumatu saiki wis musim bediting soaling,otʃolaliŋɡovoltʃaketnearapmatomatusaikivesmusjebdidiŋsoali,otʃolalikavotʃaketnearpmtmatosaekivismusimpetitiŋsoli,6.396,0.17,0.254,0.11,0.266,0.692,0.222,0.293,0.989,0.722
